,Time,Source,Destination,Protocol,Length,Info,Label
9409,22.95538,10.0.0.111,10.0.0.1,TCP,44,1025  >  1000 [SYN] Seq=0 Win=7504 Len=0 MSS=536,attack
9410,22.967077,10.0.0.120,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d2)",attack
9411,22.977758,10.0.0.102,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00d4)",attack
9412,22.982931,10.0.0.107,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d2)",attack
9413,23.001511,10.0.0.119,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00d1)",attack
9414,23.008677,10.0.0.97,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9415,23.022361,10.0.0.105,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d0)",attack
9416,23.025525,10.0.0.19,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9417,23.029172,10.0.0.96,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9418,23.034158,10.0.0.114,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d3)",attack
9419,23.043013,10.0.0.112,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00d6)",attack
9420,23.048128,10.0.0.115,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d6)",attack
9421,23.053138,10.0.0.121,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d0)",attack
9422,23.06216,10.0.0.109,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d3)",attack
9423,23.069475,10.0.0.103,10.0.0.1,TCP,44,1025  >  1000 [SYN] Seq=0 Win=7504 Len=0 MSS=536,attack
9424,23.07843,10.0.0.102,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=00d6)",attack
9425,23.092658,10.0.0.121,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d1)",attack
9426,23.106784,10.0.0.113,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d4)",attack
9427,23.111938,10.0.0.121,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00d1)",attack
9428,23.120829,10.0.0.106,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d2)",attack
9429,23.125808,10.0.0.109,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=00d4)",attack
9430,23.128499,10.0.0.108,10.0.0.1,TCP,44,1025  >  1000 [SYN] Seq=0 Win=7504 Len=0 MSS=536,attack
9431,23.13546,10.0.0.111,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=00d8)",attack
9432,23.144593,10.0.0.115,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=00d6)",attack
9433,23.149836,10.0.0.53,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
9434,23.158821,10.0.0.112,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=192, ID=00d7)",attack
9435,23.170637,10.0.0.20,10.0.0.1,UDP,38,1025  >  1000 Len=10,attack
